Date,Temp_A,Temp_B
2019-06-25 21:51:43,5.431,2.047
2019-06-25 21:51:49,5.431,2.047
2019-06-25 21:51:55,5.431,2.047
2019-06-25 21:52:01,5.431,2.047
2019-06-25 21:52:07,5.431,2.047
2019-06-25 21:52:13,5.269,2.047
2019-06-25 21:52:19,5.431,2.047
2019-06-25 21:52:25,5.269,2.047
2019-06-25 21:52:31,5.269,2.047
2019-06-25 21:52:37,5.269,2.047
2019-06-25 21:52:43,5.269,2.047
2019-06-25 21:52:49,5.269,2.047
2019-06-25 21:52:56,5.269,2.047
2019-06-25 21:53:02,5.269,2.047
2019-06-25 21:53:08,5.269,2.047
2019-06-25 21:53:14,5.269,2.047
2019-06-25 21:53:20,5.269,2.047
2019-06-25 21:53:26,5.269,2.047
2019-06-25 21:53:32,5.269,2.047
2019-06-25 21:53:38,5.269,2.047
2019-06-25 21:53:44,5.269,2.047
2019-06-25 21:53:50,5.269,2.047
2019-06-25 21:53:56,5.269,2.047
2019-06-25 21:54:02,5.269,2.047
2019-06-25 21:54:08,5.269,2.047
2019-06-25 21:54:14,5.269,2.047
2019-06-25 21:54:21,5.269,2.047
2019-06-25 21:54:27,5.269,2.047
2019-06-25 21:54:33,5.108,2.047
2019-06-25 21:54:39,5.108,2.047
2019-06-25 21:54:45,5.269,2.047
2019-06-25 21:54:51,5.269,2.047
2019-06-25 21:54:57,5.269,1.886
2019-06-25 21:55:03,5.269,1.886
2019-06-25 21:55:09,5.269,2.047
2019-06-25 21:55:15,5.269,1.886
2019-06-25 21:55:21,5.269,2.047
2019-06-25 21:55:27,5.108,2.047
2019-06-25 21:55:33,5.108,1.886
2019-06-25 21:55:39,5.108,1.886
2019-06-25 21:55:45,5.108,1.886
2019-06-25 21:55:52,5.108,1.886
2019-06-25 21:55:58,5.108,1.886
2019-06-25 21:56:04,5.108,1.886
2019-06-25 21:56:10,5.108,1.886
2019-06-25 21:56:16,5.108,1.886
2019-06-25 21:56:22,5.108,1.886
2019-06-25 21:56:28,5.108,1.886
2019-06-25 21:56:34,5.108,1.886
2019-06-25 21:56:40,5.108,1.886
2019-06-25 21:56:46,5.108,1.886
2019-06-25 21:56:52,5.108,1.886
2019-06-25 21:56:58,5.269,1.886
2019-06-25 21:57:04,4.947,1.886
2019-06-25 21:57:10,4.947,1.886
2019-06-25 21:57:16,5.108,1.886
2019-06-25 21:57:23,5.108,1.886
2019-06-25 21:57:29,5.108,1.886
2019-06-25 21:57:35,4.947,1.886
2019-06-25 21:57:41,4.947,1.724
2019-06-25 21:57:47,5.108,1.886
2019-06-25 21:57:53,4.947,1.886
2019-06-25 21:57:59,5.108,1.724
2019-06-25 21:58:05,4.947,1.886
2019-06-25 21:58:11,4.947,1.886
2019-06-25 21:58:17,4.947,1.724
2019-06-25 21:58:23,4.947,1.886
2019-06-25 21:58:29,5.108,1.724
2019-06-25 21:58:35,4.947,1.724
2019-06-25 21:58:41,4.947,1.724
2019-06-25 21:58:48,4.947,1.724
2019-06-25 21:58:54,4.947,1.724
2019-06-25 21:59:00,4.947,1.886
2019-06-25 21:59:06,4.947,1.724
2019-06-25 21:59:12,4.947,1.724
2019-06-25 21:59:18,4.947,1.724
2019-06-25 21:59:24,4.947,1.724
2019-06-25 21:59:30,5.108,1.886
